id,error_type,heavy_minus_fast,quality_score,reasons,has_table,has_figure,needs_ocr,critical_issue,document_type,difficulty,label_table,label_figure,label_equation
data_12,false_positive,-0.054272,91.4,has_table_yuksek,True,True,False,NONE,academic,hard,1,1,3
data_19,false_positive,0.002861,89.9,has_table_dusuk,True,True,False,NONE,academic,intermediate,0,1,0
data_61,false_positive,-0.024172,78.5,has_table_yuksek,True,False,False,NONE,academic,intermediate,1,0,0
data_45,false_positive,0.01128,85.0,has_table_dusuk,True,True,False,NONE,non-academic,easy,0,0,0
data_103,false_positive,-0.035497,100.0,has_table_yuksek,True,True,False,NONE,non-academic,intermediate,1,0,0
data_22,false_positive,-0.17205,65.0,low_quality,False,True,False,TWO_COLUMN_CROSS_JUMP,pptx,easy,0,0,0
data_112,false_positive,-0.056635,97.7,has_table_yuksek,True,True,False,NONE,pptx,intermediate,2,0,0
data_130,false_positive,-0.185744,76.3,"has_table_dusuk,critical_CID_FONT_UNICODE_CORRUPTION",True,True,False,CID_FONT_UNICODE_CORRUPTION,thesis,hard,0,0,5
data_80,false_positive,-0.121952,76.2,has_table_yuksek,True,True,False,NONE,thesis,hard,1,0,0
data_83,false_positive,-0.032099,100.0,has_table_yuksek,True,True,False,NONE,thesis,intermediate,1,0,0
data_14,false_negative,0.056121,100.0,,False,True,False,NONE,academic,hard,0,4,4
data_70,false_positive,-0.043903,88.6,has_table_yuksek,True,True,False,NONE,academic,intermediate,2,0,1
data_46,false_positive,-0.001191,89.7,has_table_dusuk,True,True,False,NONE,non-academic,easy,0,0,0
data_142,false_positive,-0.008701,85.0,has_table_yuksek,True,True,False,NONE,non-academic,intermediate,3,0,0
data_114,false_positive,-0.206497,96.9,has_table_yuksek,True,True,False,NONE,pptx,intermediate,1,0,0
data_131,false_positive,-0.037193,79.7,"has_table_dusuk,critical_CID_FONT_UNICODE_CORRUPTION",True,True,False,CID_FONT_UNICODE_CORRUPTION,thesis,hard,0,0,2
data_88,false_positive,-0.0752,100.0,has_table_dusuk,True,True,False,NONE,thesis,intermediate,1,0,0
data_67,false_positive,-0.148102,92.9,has_table_dusuk,True,True,False,NONE,academic,hard,0,1,9
data_102,false_positive,-0.053864,72.9,"has_table_yuksek,low_quality",True,True,False,NONE,non-academic,hard,1,0,0
data_132,false_positive,-0.084141,65.8,"low_quality,critical_CID_FONT_UNICODE_CORRUPTION",False,True,False,CID_FONT_UNICODE_CORRUPTION,thesis,hard,0,0,5
data_94,false_positive,-0.066995,100.0,has_table_yuksek,True,True,False,NONE,thesis,hard,1,0,0
data_91,false_positive,-0.049462,100.0,has_table_yuksek,True,True,False,NONE,thesis,intermediate,1,0,0
data_41,false_negative,0.033267,100.0,,False,True,False,NONE,academic,easy,0,0,0
data_123,false_positive,-0.179768,94.0,has_table_dusuk,True,True,False,NONE,academic,hard,0,1,5
data_106,false_positive,0.010774,100.0,has_table_yuksek,True,True,False,NONE,non-academic,hard,2,0,0
data_127,false_positive,-0.134189,77.2,has_table_yuksek,True,True,False,NONE,thesis,hard,1,0,0
data_133,false_positive,-0.039618,89.9,has_table_yuksek,True,True,False,NONE,thesis,intermediate,1,1,0
data_42,false_negative,0.029557,100.0,,False,True,False,NONE,academic,easy,0,0,0
data_124,false_positive,-0.135839,99.9,has_table_dusuk,True,True,False,NONE,academic,hard,0,0,5
data_62,false_positive,-0.086261,96.6,has_table_yuksek,True,True,False,NONE,academic,hard,1,7,0
data_101,false_negative,0.032985,100.0,,False,True,False,NONE,non-academic,easy,0,0,0
data_129,false_positive,-0.169566,74.3,"has_table_yuksek,low_quality",True,True,False,NONE,thesis,hard,1,0,0
data_171,false_positive,-0.03961,100.0,has_table_yuksek,True,True,False,NONE,thesis,intermediate,1,0,0
data_66,false_positive,-0.008616,65.0,low_quality,False,True,False,TWO_COLUMN_CROSS_JUMP,academic,intermediate,0,0,4
data_151,false_positive,-0.051831,97.2,has_table_yuksek,True,True,False,NONE,non-academic,hard,1,0,0
data_155,false_positive,0.017461,85.0,has_table_dusuk,True,True,False,NONE,non-academic,intermediate,0,2,0
data_52,false_negative,0.207822,100.0,,False,True,False,NONE,pptx,hard,0,1,0
data_134,false_positive,-0.01945,65.0,low_quality,False,True,False,TWO_COLUMN_CROSS_JUMP,thesis,intermediate,0,1,0
data_75,false_positive,-0.016014,100.0,has_table_yuksek,True,True,False,NONE,academic,hard,2,0,0
data_153,false_positive,-0.00743,100.0,has_table_yuksek,True,True,False,NONE,non-academic,hard,1,0,0
data_136,false_positive,-0.092889,87.9,has_table_yuksek,True,True,False,NONE,thesis,hard,1,0,0
data_173,false_positive,-0.079364,94.7,has_table_yuksek,True,True,False,NONE,thesis,intermediate,1,0,0
data_119,false_positive,-0.047853,100.0,has_table_yuksek,True,True,False,NONE,academic,hard,2,0,4
data_137,false_negative,0.040308,100.0,,False,True,False,NONE,non-academic,easy,0,0,0
data_54,false_negative,0.091907,100.0,,False,True,False,NONE,pptx,hard,0,1,0
data_180,false_positive,-0.09219,91.7,has_table_yuksek,True,True,False,NONE,thesis,hard,0,0,5
data_174,false_positive,-0.035678,98.9,has_table_yuksek,True,True,False,NONE,thesis,intermediate,1,0,0
data_71,false_negative,0.044244,100.0,,False,True,False,NONE,academic,easy,0,0,0
data_138,false_negative,0.026187,100.0,,False,True,False,NONE,non-academic,easy,0,0,0
data_55,false_negative,0.083235,100.0,,False,True,False,NONE,pptx,hard,0,1,0
data_175,false_positive,-0.024777,97.3,has_table_yuksek,True,True,False,NONE,thesis,intermediate,1,0,0
data_139,false_negative,0.036178,100.0,,False,True,False,NONE,non-academic,easy,0,0,0
data_56,false_positive,-0.046299,89.8,has_table_dusuk,True,True,False,NONE,pptx,hard,0,1,0
data_140,false_negative,0.040802,100.0,,False,True,False,NONE,non-academic,easy,0,0,0
data_160,false_negative,0.2402,100.0,,False,True,False,NONE,non-academic,intermediate,0,1,0
data_57,false_negative,0.196062,100.0,,False,True,False,NONE,pptx,hard,0,3,0
