source_id,family,connector,title,url,persistent_id,literature_role,published_at,discovery_relevance,content_relevance,evidence_claims,reportable_claims
01KYSG5QQ5ARR0CQSK630A5RDZ,web,agentsearch_web,Humanoid Robots in Industrial Manufacturing: What They Can (and Can't) Do in 2026,https://www.evsint.com/humanoid-robots-industrial-manufacturing-2026,,contextual,2026-04-20T12:47:50+00:00,0.65,1.0,2,2
01KYSFWBTKR7PWGXG8PF8F3XK9,academic,crossref,Powering Humanoid Robots: The Central Role of Battery Technology,https://www.the-innovation.org/energy-use/article/doi/10.59717/ipj.energy-use.2026.100032,10.59717/ipj.energy-use.2026.100032,contextual,2026-01-01T00:00:00+00:00,0.75,1.0,0,0
01KYSFZKS0SJYK73VXD46D9QWY,academic,arxiv,ReferTrack: Referring Then Tracking for Embodied Visual Tracking,https://arxiv.org/abs/2607.20061,arxiv:2607.20061v1,contextual,2026-07-22T12:05:13+00:00,0.6656,1.0,0,0
01KYSG0S8CH9MYKF49Z5MVVNF9,academic,arxiv,Optimization of sim-to-real transfer in the humanoid robot NICO,https://arxiv.org/abs/2607.18210,arxiv:2607.18210v1,contextual,2026-07-20T17:45:04+00:00,0.6649,1.0,0,0
01KYSG2VXTDFJR5EEBRNMAXVPT,academic,arxiv,Human2Any: Human-to-Robot Transfer via Constraint-Aware Compositional Planning,https://arxiv.org/abs/2606.28813,arxiv:2606.28813v1,contextual,2026-06-27T08:45:27+00:00,0.6632,1.0,0,0
01KYSG3YM7MVQZ0BB4C3NMQFSY,web,agentsearch_web,"Humanoid Factory Deployments: Real, Pilot or Announced?",https://www.techniahqservice.com/robotics-news/humanoid-factory-deployments,,contextual,2026-07-11T00:00:00+00:00,0.65,1.0,7,0
01KYSG4CZKGVTTCH2VFN1D6YZ9,web,agentsearch_web,Humanoid Robotics In 2026: The Race From Pilot To Platform - KraneShares,https://kraneshares.com/humanoid-robotics-in-2026-the-race-from-pilot-to-platform,,contextual,,0.65,1.0,0,0
01KYSG4VP6BX4DRS52HRCD9QNC,web,agentsearch_web,"Humanoid robots in 2026: Types, prices, and what’s next - Standard Bots",https://standardbots.com/blog/humanoid-robot,,contextual,,0.65,1.0,6,4
01KYSG5AZ9PNMFAVJSPFV9WSBE,web,agentsearch_web,"+++ BMW Group bringing Physical AI to Europe +++ Pilot project at BMW Group Plant Leipzig +++ New “Center of Competence for Physical AI in Production” accelerates global integration of AI and robotics in production +++ First pilot deployment of humanoid robots successfully completed at BMW Group Plant Spartanburg, USA +++",https://www.press.bmwgroup.com/global/article/detail/T0455864EN/bmw-group-to-deploy-humanoid-robots-in-production-in-germany-for-the-first-time?language=en,,contextual,,0.65,1.0,0,0
01KYSG2GM9PJBSMY1DJDFP6ATJ,academic,arxiv,ContactMimic: Humanoid Object Interaction via Contact Control,https://arxiv.org/abs/2607.08742,arxiv:2607.08742v1,contextual,2026-07-09T17:42:15+00:00,0.6635,0.8688,0,0
01KYSG3EQQHMVE0JEDJDARG07W,academic,arxiv,TEXEDO : Test Time Scaling for Controller-aware Language-conditioned Humanoid Motion Generation,https://arxiv.org/abs/2606.22998,arxiv:2606.22998v2,contextual,2026-06-22T08:14:35+00:00,0.6627,1.0,0,0
01KYSG461NWVMH9MVPX68DTWDH,web,agentsearch_web,Humanoid Robots in Automotive Manufacturing 2026,https://ifactoryapp.com/industries/automotive-manufacturing/humanoid-robots-automotive-humanoid-robots-2026,,contextual,2026-05-27T02:50:00+00:00,0.65,1.0,0,0
01KYSG4KC7PH4GHR6SW2Q80RDX,web,agentsearch_web,Innovative Humanoid Robots in 2025–2026 - Reality or Hype?,https://www.winssolutions.org/humanoid-robots-2025-2026-reality-hype,,contextual,2025-11-18T16:32:34+00:00,0.65,1.0,8,5
01KYSG54W4XBPPBQ39GCWY8DPG,web,agentsearch_web,"AI Humanoid Robots 2026: Technology, Builders & Future",https://www.articsledge.com/post/ai-humanoid-robots,,contextual,,0.65,1.0,11,4
01KYSG5G1Y9QGKD5GBMJ7HSPVZ,web,agentsearch_web,The state of humanoid robotics: From research labs to real-world potential,https://roboticsandautomationnews.com/2026/02/07/the-state-of-humanoid-robotics-from-research-labs-to-real-world-potential/98732,,contextual,2026-02-07T04:27:37+00:00,0.65,1.0,4,2
01KYSG69J8KGBBY3HA6S9ABDPB,academic,arxiv,Learning Asynchronous Upper-body Task-space Trajectory Tracking Policy for Humanoid Robots,https://arxiv.org/abs/2606.25706,arxiv:2606.25706v1,contextual,2026-06-24T11:19:38+00:00,0.613,0.8375,0,0
01KYSG8P78J1ESSYPZV46MNB5W,academic,local_corpus,Vision-Language-Action and Vision Language Models for Robot Manipulation: A Comprehensive Review Towards Real-World Applications,https://doi.org/10.20944/preprints202606.0400.v1,10.20944/preprints202606.0400.v1,contextual,2026-06-04T00:00:00+00:00,1.0,1.0,4,1
01KYSGF3EH475R0E7QBMGMYJB0,academic,crossref,Developing humanoid robots for real-world environments,https://ieeexplore.ieee.org/document/4756032,10.1109/ichr.2008.4756032,contextual,2008-12-01T00:00:00+00:00,0.7156,0.8938,3,1
01KYSGGHQ9WJPQN5N4299PKYWS,academic,arxiv,VAIC: Vision-Guided Humanoid Agile Object Interaction Control via Decoupled Commands,https://arxiv.org/abs/2606.09286,arxiv:2606.09286v1,contextual,2026-06-08T09:52:55+00:00,0.6652,1.0,3,1
01KYSGJF6MTAWTT0VR3PZRMRSQ,web,local_corpus,Figure - YouTube,https://www.youtube.com/@figureai,,contextual,,0.55,0.4813,4,1
01KYSFYVQVBK9C7AJ2712WKN78,academic,arxiv,When Does Legacy Data Start to Help? Emergent Transfer in Cross-Configuration Robot Learning,https://arxiv.org/abs/2607.25593,arxiv:2607.25593v1,contextual,2026-07-28T11:24:52+00:00,0.6661,1.0,0,0
01KYSG07ZRS3BVK8V72NFK1CJB,academic,arxiv,Learning Diverse Humanoid Tasks via Synthetic Video Scenarios without Real World Data,https://arxiv.org/abs/2607.21648,arxiv:2607.21648v1,contextual,2026-07-22T05:36:55+00:00,0.6654,1.0,0,0
